Unnamed: 0,id,year,method,the_city_of_austin_as_a_place_to_live,the_city_of_austin_as_a_place_to_work,the_city_of_austin_as_a_place_to_raise_children,the_city_of_austin_as_a_place_to_retire,overall_quality_of_life_in_the_city,how_well_the_city_of_austin,access_to_affordable_quality,access_to_affordable_quality_1,access_to_affordable_quality_2,access_to_affordable_quality_3,availability_of_affordable,overall_quality_of_development,overall_quality_of_planning,city_s_effort_to_promote,overall_quality_of_the_austin,water_and_wastewater_rates,value_of_services_received,overall_quality_of_city_parks,quality_of_city_of_austin,overall_quality_of_city_of,number_of_city_of_austin,number_of_city_of_austin_1,appearance_of_city_of_austin,overall_satisfaction_with,quality_of_youth_athletic,quality_of_adult_athletic,quality_of_outdoor_athletic,cleanliness_of_city_streets,cleanliness_of_your,energy_conservation_program,overall_quality_of_wastewater,overall_management_of,the_water_quality_of_lakes,water_conservation_programs,overall_quality_of_drinking,quality_of_residential_garbage,quality_of_residential_yard,household_hazardous_waste,bulky_item_pick_up_removal,quality_of_residential,animal_services_shelter,overall_quality_of_health,shot_for_tots_and_big_shots,medical_assistance_provided,overall_quality_of_fire,timeliness_of_fire_department,flood_control_efforts,timeliness_of_ems_response,overall_quality_of_police,speed_of_police_response,enforcement_of_local_traffic,overall_quality_of_public,adequacy_of_street_lighting,enforcement_of_local_codes,overall_quality_of_municipal,water_and_wastewater_utility,i_feel_safe_in_my_neighborhood,i_feel_safe_in_my_neighborhood_1,i_feel_safe_walking_alone,i_feel_safe_walking_alone_1,i_feel_safe_in_city_parks,traffic_flow_on_major_highways,traffic_flow_on_major_city,timing_of_traffic_signals,on_street_bicycle,off_street_bicycle,overall_maintenance_of_major,condition_of_major_city,condition_of_streets_in_your,mowing_and_trimming_along,pedestrian_accessibility,overall_maintenance_of_city,condition_of_sidewalks_in,overall_quality_of_city,materials_at_libraries,library_programs,overall_quality_of_services,overall_quality_of_customer,services_provided_by_the,overall_effectiveness_of,the_city_s_effort_to_support,the_city_s_efforts_to_support,overall_value_that_you_receive,overall_quality_of_electric,austin_energy_customer_service,reliability_of_your_electric,water_and_wastewater_utility_1,employees_of_the_city_of,safety_of_equipment_or,satisfaction_with_city_of,cleanliness_of_library,library_hours,safety_of_your_drinking_water,code_enforcement_of_weed,helpfulness_of_library_staff,review_services_for,the_city_s_efforts_to_offer,food_safety_inspection_program,neighborhood_planning_zoning,accessibility_of_municipal,have_you_visited_an_austin,have_you_used_a_city_of_austin,have_you_participated_in,have_you_visited_a_city_pool,have_you_visited_a_city,have_you_used_the_city_s,have_you_used_the_city_s_1,have_you_visited_an_austin_1,have_you_participated_in_1,have_you_had_contact_with,have_you_had_contact_with_1,have_you_visited_the_austin,have_you_had_contact_with_2,have_you_visited_the_austin_1,have_you_called_3_1_1,have_you_called_9_1_1,have_you_had_contact_with_3,have_you_had_contact_with_4,have_you_had_contact_with_5,have_you_had_contact_with_6,have_you_had_contact_with_7,does_austin_energy_provide,does_the_city_of_austin,does_the_city_of_austin_1,have_you_participated_in_3,have_you_participated_in_4,have_you_visited_a_city_of,have_you_used_park_equipment,have_you_participated_in_5,approximately_how_many_years,which_of_the_following_best,how_many_children_if_any,how_many_dependents_including,which_of_the_following_best_1,are_you_hispanic_latino_or,race_ethnicity_recode,which_of_the_following_best_9,what_is_your_gender,do_you_own_or_rent_your_home,what_is_your_home_zip_code,zip_code,city,state,council_district,block_level_x_longitude,block_level_y_latitude,date_as_of_date,which_of_the_following_best_7,which_of_the_following_best_8,which_of_the_following_best_6,which_of_the_following_best_3,which_of_the_following_best_2,safety_in_city_parks_and,overall_quality_of_planning_1,bicycle_accessibility_the,overall_maintenance_of_city_1
412,2017_4563,2017,Web,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Don't Know,Very Satisfied,Very Satisfied,Don't Know,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Don't Know,Don't Know,Don't Know,Satisfied,Don't Know,Very Satisfied,Don't Know,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Don't Know,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Dissatisfied,Neutral,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Don't Know,Very Satisfied,Very Satisfied,Very Satisfied,Neutral,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Strongly Agree,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Don't Know,Satisfied,Very Satisfied,Very Satisfied,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,5 or less,18-34 years,0,Three,,No,Asian/Pacific Islander Only,"$60K-79,999",Female,Own,78746,78746,Austin,TX,8,-97.79,30.258,2017-01-01T00:00:00.000,,,,Asian/Pacific Islander,,,,,
413,2017_4564,2017,Web,Satisfied,Neutral,Neutral,Very Satisfied,Satisfied,Dissatisfied,Don't Know,Dissatisfied,Neutral,Dissatisfied,Dissatisfied,Dissatisfied,Neutral,Don't Know,Dissatisfied,Neutral,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Don't Know,Satisfied,Don't Know,Neutral,Neutral,Neutral,Dissatisfied,Neutral,Very Satisfied,Very Satisfied,Dissatisfied,Very Satisfied,Very Satisfied,Satisfied,Neutral,Neutral,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Very Dissatisfied,Very Dissatisfied,Dissatisfied,Satisfied,Satisfied,Very Dissatisfied,Dissatisfied,Very Dissatisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Don't Know,Satisfied,Satisfied,Don't Know,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Strongly Agree,Don't Know,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Don't Know,Don't Know,Don't Know,Satisfied,Neutral,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,31+,65+ years,0,Two,,No,Caucasian/White Only,$150K or more,Male,Own,78723,78723,Austin,TX,9,-97.705,30.291,2017-01-01T00:00:00.000,,,Caucasian/White,,,,,,
414,2017_4565,2017,Web,Satisfied,Satisfied,Satisfied,Don't Know,Satisfied,Very Dissatisfied,Very Dissatisfied,Neutral,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Neutral,Don't Know,Don't Know,Very Satisfied,Dissatisfied,Dissatisfied,Dissatisfied,Neutral,Satisfied,Dissatisfied,Dissatisfied,Satisfied,Satisfied,Very Dissatisfied,Very Dissatisfied,Dissatisfied,Dissatisfied,Satisfied,Satisfied,Dissatisfied,Don't Know,Satisfied,Satisfied,Very Satisfied,Dissatisfied,Satisfied,Don't Know,Satisfied,Dissatisfied,Neutral,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Satisfied,Don't Know,Satisfied,Satisfied,Very Dissatisfied,Don't Know,Satisfied,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Very Dissatisfied,Dissatisfied,Very Dissatisfied,Dissatisfied,Dissatisfied,Satisfied,Satisfied,Dissatisfied,Don't Know,Very Dissatisfied,Dissatisfied,Very Dissatisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Satisfied,Don't Know,Satisfied,Satisfied,Satisfied,Neutral,Very Satisfied,Neutral,Don't Know,Satisfied,Don't Know,Dissatisfied,Satisfied,Very Satisfied,Don't Know,Very Satisfied,Don't Know,Don't Know,Don't Know,Don't Know,Satisfied,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,16 to 20,35-44 years,2,Four,,No,Caucasian/White Only,"$80K-149,999",Male,Own,78736,78736,Austin,TX,8,-97.881,30.237,2017-01-01T00:00:00.000,,,Caucasian/White,,,,,,
415,2017_4566,2017,Web,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Dissatisfied,Satisfied,Very Satisfied,Very Dissatisfied,Satisfied,Dissatisfied,Neutral,Dissatisfied,Dissatisfied,Satisfied,Dissatisfied,Dissatisfied,Neutral,Neutral,Neutral,Neutral,Neutral,Satisfied,Neutral,Dissatisfied,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Very Dissatisfied,Neutral,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Dissatisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Dissatisfied,Very Dissatisfied,Satisfied,Satisfied,Agree,Disagree,Disagree,Strongly Disagree,Neutral,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Neutral,Neutral,Very Dissatisfied,Dissatisfied,Dissatisfied,Very Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Neutral,Neutral,Satisfied,Very Dissatisfied,Satisfied,Satisfied,Dissatisfied,Satisfied,Satisfied,Satisfied,Dissatisfied,Disagree,Neutral,Dissatisfied,Dissatisfied,Dissatisfied,Satisfied,Dissatisfied,Dissatisfied,Dissatisfied,Satisfied,Satisfied,Neutral,Satisfied,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,31+,55-64 years,0,Two,,No,Caucasian/White Only,"$60K-79,999",Female,Own,78736,78736,Austin,TX,8,-97.896,30.241,2017-01-01T00:00:00.000,,,Caucasian/White,,,,,,
416,2017_4567,2017,Mail,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Neutral,Don't Know,Very Satisfied,Very Satisfied,Neutral,Satisfied,Satisfied,Very Satisfied,Don't Know,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Don't Know,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Dissatisfied,Neutral,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Don't Know,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Strongly Agree,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Don't Know,Don't Know,Satisfied,Very Satisfied,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,6 to 10,35-44 years,0,Two,,Yes,Hispanic,"$60K-79,999",Male,Rent,78735,78735,Austin,TX,3,,,2017-01-01T00:00:00.000,,,Caucasian/White,,,,,,
417,2017_4568,2017,Web,Very Satisfied,Neutral,Don't Know,Very Satisfied,Very Satisfied,Satisfied,Neutral,Very Satisfied,Neutral,Very Satisfied,Neutral,Neutral,Neutral,Neutral,Very Satisfied,Neutral,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Dissatisfied,Very Satisfied,Very Dissatisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Neutral,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Dissatisfied,Very Satisfied,Satisfied,Very Satisfied,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Dissatisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Dissatisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Neutral,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Agree,Very Satisfied,Don't Know,Very Satisfied,Very Satisfied,Very Dissatisfied,Very Satisfied,Very Satisfied,Neutral,Very Satisfied,Neutral,Very Satisfied,Very Satisfied,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,31+,65+ years,0,Two,,Yes,Hispanic,"$40K-59,999",Male,Own,78758,78758,Austin,TX,7,-97.7,30.4,2017-01-01T00:00:00.000,Other,Hispanic,,,,,,,
418,2017_4569,2017,Web,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Dissatisfied,Don't Know,Don't Know,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Don't Know,Very Satisfied,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Don't Know,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Don't Know,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Don't Know,Don't Know,Don't Know,Don't Know,Satisfied,Don't Know,Don't Know,Don't Know,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Don't Know,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Dissatisfied,Very Dissatisfied,Dissatisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Dissatisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Strongly Agree,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Don't Know,Don't Know,Don't Know,Very Dissatisfied,Very Satisfied,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,31+,35-44 years,1,Two,,No,Caucasian/White Only,$150K or more,Female,Rent,78746,78746,Austin,TX,8,-97.81,30.268,2017-01-01T00:00:00.000,,,Caucasian/White,,,,,,
419,2017_4580,2017,Web,Satisfied,Satisfied,Don't Know,Don't Know,Very Satisfied,Dissatisfied,Don't Know,Don't Know,Don't Know,Don't Know,Dissatisfied,Dissatisfied,Neutral,Don't Know,Satisfied,Neutral,Don't Know,Satisfied,Don't Know,Satisfied,Very Satisfied,Satisfied,Satisfied,Don't Know,Don't Know,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Don't Know,Neutral,Satisfied,Don't Know,Neutral,Don't Know,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Satisfied,Don't Know,Agree,Agree,Agree,Neutral,Agree,Very Dissatisfied,Neutral,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Don't Know,Don't Know,Don't Know,Neutral,Don't Know,Don't Know,Neutral,Don't Know,Don't Know,Neutral,Satisfied,Don't Know,Satisfied,Don't Know,Neutral,Don't Know,Don't Know,Don't Know,Don't Know,Satisfied,Neutral,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Neutral,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,11 to 15,35-44 years,0,Two,,No,Caucasian/White Only,"$60K-79,999",Male,Own,78749,78749,Austin,TX,8,-97.855,30.198,2017-01-01T00:00:00.000,,,Caucasian/White,,,,,,
420,2017_4570,2017,Mail,Dissatisfied,Don't Know,Don't Know,Dissatisfied,Neutral,Very Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Dissatisfied,Dissatisfied,Neutral,Neutral,Neutral,Neutral,Don't Know,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Dissatisfied,Dissatisfied,Very Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Satisfied,Neutral,Dissatisfied,Neutral,Satisfied,Very Dissatisfied,Don't Know,Dissatisfied,Satisfied,Satisfied,Satisfied,Dissatisfied,Satisfied,Satisfied,Satisfied,Dissatisfied,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Very Dissatisfied,Very Dissatisfied,Dissatisfied,Neutral,Neutral,Very Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Very Dissatisfied,Dissatisfied,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Neutral,Very Dissatisfied,Neutral,Neutral,Very Dissatisfied,Neutral,Satisfied,Neutral,Satisfied,Neutral,Neutral,Neutral,Satisfied,Satisfied,Dissatisfied,Neutral,Satisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,31+,65+ years,0,Two,,No,Caucasian/White Only,"$40K-59,999",Male,Own,78704,78704,Austin,TX,9,-97.741,30.244,2017-01-01T00:00:00.000,,,Caucasian/White,,,,,,
421,2017_4571,2017,Web,Very Satisfied,Very Satisfied,Very Satisfied,Dissatisfied,Satisfied,Satisfied,Don't Know,Don't Know,Satisfied,Don't Know,Don't Know,Satisfied,Satisfied,Don't Know,Satisfied,Don't Know,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Don't Know,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Dissatisfied,Satisfied,Satisfied,Neutral,Satisfied,Agree,Agree,Disagree,Strongly Disagree,Agree,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Agree,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,31+,65+ years,0,One,,No,Caucasian/White Only,"$60K-79,999",Male,Rent,78745,78745,Austin,TX,5,-97.812,30.193,2017-01-01T00:00:00.000,,,Caucasian/White,,,,,,
422,2017_4572,2017,Web,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Dissatisfied,Neutral,Very Satisfied,Very Satisfied,Very Dissatisfied,Neutral,Very Dissatisfied,Dissatisfied,Dissatisfied,Satisfied,Dissatisfied,Don't Know,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Neutral,Satisfied,Neutral,Satisfied,Neutral,Satisfied,Very Satisfied,Very Satisfied,Neutral,Very Satisfied,Very Satisfied,Neutral,Neutral,Satisfied,Satisfied,Very Satisfied,Satisfied,Neutral,Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Don't Know,Neutral,Satisfied,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Neutral,Neutral,Dissatisfied,Dissatisfied,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Neutral,Neutral,Neutral,Satisfied,Very Satisfied,Dissatisfied,Dissatisfied,Very Satisfied,Neutral,Neutral,Satisfied,Satisfied,Satisfied,Very Satisfied,Agree,Satisfied,Satisfied,Neutral,Neutral,Satisfied,Neutral,Neutral,Neutral,Neutral,Satisfied,Very Dissatisfied,Neutral,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,31+,55-64 years,0,Three,,No,Caucasian/White Only,"$80K-149,999",Male,Own,78759,78759,Austin,TX,10,-97.766,30.406,2017-01-01T00:00:00.000,,,Caucasian/White,,,,,,
423,2017_4573,2017,Web,Very Dissatisfied,Satisfied,Dissatisfied,Very Dissatisfied,Dissatisfied,Very Dissatisfied,Neutral,Neutral,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Neutral,Satisfied,Dissatisfied,Neutral,Dissatisfied,Don't Know,Dissatisfied,Dissatisfied,Satisfied,Dissatisfied,Very Dissatisfied,Neutral,Neutral,Neutral,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Very Dissatisfied,Dissatisfied,Satisfied,Dissatisfied,Satisfied,Satisfied,Dissatisfied,Satisfied,Satisfied,Dissatisfied,Don't Know,Neutral,Neutral,Neutral,Neutral,Very Dissatisfied,Neutral,Very Dissatisfied,Very Dissatisfied,Dissatisfied,Very Dissatisfied,Neutral,Very Dissatisfied,Don't Know,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Don't Know,Dissatisfied,Very Dissatisfied,Very Satisfied,Very Satisfied,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Dissatisfied,Dissatisfied,Neutral,Dissatisfied,Don't Know,Don't Know,Don't Know,Very Dissatisfied,Very Dissatisfied,Satisfied,Satisfied,Very Dissatisfied,Neutral,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Dissatisfied,Don't Know,Strongly Disagree,Don't Know,Neutral,Don't Know,Don't Know,Dissatisfied,Very Dissatisfied,Don't Know,Very Dissatisfied,Neutral,Neutral,Very Dissatisfied,Neutral,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,31+,45-54 years,0,,,No,Multiple Races/Other,"$80K-149,999",Female,Own,78757,78757,Austin,TX,7,-97.744,30.359,2017-01-01T00:00:00.000,Other,mixed races,,,,,,,
424,2017_4574,2017,Web,Neutral,Satisfied,Don't Know,Don't Know,Satisfied,Very Dissatisfied,Very Dissatisfied,Neutral,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Dissatisfied,Dissatisfied,Neutral,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Dissatisfied,Satisfied,Satisfied,Don't Know,Don't Know,Satisfied,Neutral,Neutral,Very Satisfied,Satisfied,Dissatisfied,Neutral,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Neutral,Neutral,Neutral,Very Satisfied,Don't Know,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Neutral,Very Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Very Dissatisfied,Dissatisfied,Satisfied,Don't Know,Strongly Agree,Neutral,Strongly Agree,Agree,Neutral,Very Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Very Satisfied,Dissatisfied,Dissatisfied,Dissatisfied,Satisfied,Very Dissatisfied,Dissatisfied,Very Dissatisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Neutral,Satisfied,Satisfied,Neutral,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Strongly Agree,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Dissatisfied,Very Satisfied,Don't Know,Very Dissatisfied,Neutral,Very Dissatisfied,Neutral,Yes,Yes,Yes,Yes,Don't Know,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Don't Know,Yes,Don't Know,Don't Know,11 to 15,18-34 years,0,Three,,Yes,Hispanic,"$60K-79,999",Female,Own,78751,78751,Austin,TX,9,-97.713,30.311,2017-01-01T00:00:00.000,Other,Spanish ancestry,,,,,,,
